window_id,film,window_start,window_end,true_is_song,true_is_action,song_prob,action_prob,predicted_label,confidence,correct
W019,Bahubali 2 (2017),01:50:32,01:52:32,1,0,0.9594,0.0,song,0.9594,YES
W023,Bahubali 2 (2017),00:37:31,00:39:11,1,0,0.9594,0.0,song,0.9594,YES
W167,RRR (2022),02:27:32,02:29:04,1,0,0.9594,0.3143,song,0.9594,YES
W143,RRR (2022),00:58:34,01:00:13,1,0,0.9594,0.3143,song,0.9594,YES
W022,Jawan (2023),01:35:04,01:36:57,1,0,0.9594,0.3143,song,0.9594,YES
W033,Pushpa (2021),00:44:07,00:45:55,1,0,0.9594,0.55,song,0.9594,YES
W086,3 Idiots (2009),01:31:09,01:33:12,1,0,0.9594,0.0,song,0.9594,YES
W144,Pushpa (2021),01:11:07,01:13:26,1,0,0.9594,0.3143,song,0.9594,YES
W157,DDLJ (1995),00:42:15,00:44:43,1,0,0.9594,0.55,song,0.9594,YES
W113,Dangal (2016),00:27:46,00:30:16,1,0,0.9594,0.0,song,0.9594,YES
W137,Pushpa (2021),02:33:12,02:34:56,1,0,0.9594,0.3143,song,0.9594,YES
W199,Kabir Singh (2019),01:12:50,01:15:03,1,0,0.9594,1.0,QA_QUEUE,0.9797,NO
W027,Dil Bechara (2020),00:50:20,00:52:27,1,0,0.9594,0.0,song,0.9594,YES
W087,Bahubali 2 (2017),01:55:32,01:57:07,1,0,0.9594,0.0,song,0.9594,YES
W168,3 Idiots (2009),02:38:46,02:41:14,1,0,0.9594,0.0,song,0.9594,YES
