window_id,film,window_start,window_end,true_is_song,true_is_action,song_prob,action_prob,predicted_label,confidence,correct
W107,Pushpa (2021),00:22:12,00:24:12,0,0,0.0,0.0,dialogue/neither,1.0,YES
W063,KGF Chapter 2 (2022),02:02:13,02:04:24,0,0,0.0,0.0,dialogue/neither,1.0,YES
W019,Bahubali 2 (2017),01:50:32,01:52:32,1,0,0.9594,0.0,song,0.9594,YES
W160,Jawan (2023),01:26:35,01:28:44,1,1,0.9594,0.3143,song,0.9594,NO
W197,Pushpa (2021),01:29:14,01:31:19,1,1,0.9594,0.3143,song,0.9594,NO
W023,Bahubali 2 (2017),00:37:31,00:39:11,1,0,0.9594,0.0,song,0.9594,YES
W119,Pushpa (2021),00:23:32,00:25:43,0,0,0.0,0.0,dialogue/neither,1.0,YES
W030,Dangal (2016),02:36:14,02:38:42,1,1,0.9594,0.3143,song,0.9594,NO
W138,RRR (2022),00:28:10,00:29:58,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W130,Dil Bechara (2020),02:48:16,02:49:46,0,1,0.0,1.0,action,1.0,YES
W078,Jawan (2023),01:28:20,01:30:29,0,1,0.0,0.7097,action,0.7097,YES
W167,RRR (2022),02:27:32,02:29:04,1,0,0.9594,0.3143,song,0.9594,YES
W048,3 Idiots (2009),00:22:53,00:25:11,0,0,0.0,0.0,dialogue/neither,1.0,YES
W092,KGF Chapter 2 (2022),00:09:15,00:11:36,0,1,0.0,0.9625,action,0.9625,YES
W116,RRR (2022),01:39:16,01:41:13,0,0,0.0,0.0,dialogue/neither,1.0,YES
W182,Dangal (2016),00:58:41,01:00:27,0,1,0.0,0.55,action,0.55,YES
W143,RRR (2022),00:58:34,01:00:13,1,0,0.9594,0.3143,song,0.9594,YES
W021,Pushpa (2021),00:07:13,00:08:57,0,0,0.0,0.0,dialogue/neither,1.0,YES
W022,Jawan (2023),01:35:04,01:36:57,1,0,0.9594,0.3143,song,0.9594,YES
W033,Pushpa (2021),00:44:07,00:45:55,1,0,0.9594,0.55,song,0.9594,YES
W045,3 Idiots (2009),00:59:30,01:01:29,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W151,Pushpa (2021),00:58:34,01:01:00,0,0,0.0,0.7097,action,0.7097,NO
W085,Bahubali 2 (2017),00:50:48,00:52:52,0,0,0.0,0.0,dialogue/neither,1.0,YES
W086,3 Idiots (2009),01:31:09,01:33:12,1,0,0.9594,0.0,song,0.9594,YES
W189,Dangal (2016),01:11:08,01:12:39,0,0,0.0,0.0,dialogue/neither,1.0,YES
W067,KGF Chapter 2 (2022),00:03:31,00:05:38,0,0,0.0,0.0,dialogue/neither,1.0,YES
W065,Pushpa (2021),01:02:07,01:04:20,0,0,0.0,0.55,action,0.55,NO
W032,Dil Bechara (2020),01:29:08,01:31:27,0,0,0.0,0.0,dialogue/neither,1.0,YES
W170,RRR (2022),00:22:04,00:23:38,0,0,0.0,0.0,dialogue/neither,1.0,YES
W149,3 Idiots (2009),02:11:52,02:13:45,0,1,0.0,0.7097,action,0.7097,YES
W144,Pushpa (2021),01:11:07,01:13:26,1,0,0.9594,0.3143,song,0.9594,YES
W054,Pushpa (2021),02:32:19,02:34:34,0,0,0.0,0.0,dialogue/neither,1.0,YES
W091,Dangal (2016),02:39:30,02:41:24,0,1,0.0,1.0,action,1.0,YES
W006,Pushpa (2021),00:05:48,00:07:34,0,0,0.0,0.0,dialogue/neither,1.0,YES
W157,DDLJ (1995),00:42:15,00:44:43,1,0,0.9594,0.55,song,0.9594,YES
W042,RRR (2022),00:05:37,00:07:17,0,1,0.3793,1.0,action,1.0,YES
W178,Pushpa (2021),00:04:13,00:05:48,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W192,KGF Chapter 2 (2022),02:45:04,02:46:39,1,1,0.9594,0.0,song,0.9594,NO
W113,Dangal (2016),00:27:46,00:30:16,1,0,0.9594,0.0,song,0.9594,YES
W002,RRR (2022),00:42:42,00:44:46,1,1,0.9594,0.0,song,0.9594,NO
W158,3 Idiots (2009),02:45:45,02:47:55,0,1,0.55,1.0,action,1.0,YES
W112,Dangal (2016),02:10:06,02:12:16,0,0,0.0,0.0,dialogue/neither,1.0,YES
W142,Pushpa (2021),00:52:11,00:54:38,0,0,0.0,0.0,dialogue/neither,1.0,YES
W137,Pushpa (2021),02:33:12,02:34:56,1,0,0.9594,0.3143,song,0.9594,YES
W009,DDLJ (1995),01:39:30,01:41:50,0,1,0.9594,0.9625,QA_QUEUE,0.9609,NO
W172,Bahubali 2 (2017),01:17:33,01:19:23,0,1,0.0,0.7097,action,0.7097,YES
W161,Bahubali 2 (2017),02:37:24,02:38:56,0,1,0.0,0.7097,action,0.7097,YES
W046,Dil Bechara (2020),02:42:08,02:44:20,0,1,0.0,0.7652,action,0.7652,YES
W098,Bahubali 2 (2017),02:38:09,02:39:51,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
